Ticker,Average Close,Highest Price,Mean Return,Volatility,Min Return,Max Return
ACB,17.28443548387097,19.29,0.0009363407514871851,0.012776689486805739,-0.06959314775160608,0.06883365200764824
BCM,64.15846774193548,81.0,0.0003488653103636296,0.020653706670152497,-0.06989247311827973,0.06973476198840678
BID,38.748467741935485,46.34,0.0004260461069990256,0.015349464484721536,-0.06976744186046513,0.06949205359925203
BVH,44.067365591397845,58.58,0.0008755736446500925,0.017507331083581563,-0.06975169300225725,0.06977277943539129
CTG,23.91922043010753,29.7,0.001161716472890799,0.01670898070286616,-0.06970610399397126,0.06945722171113156
FPT,100.56537634408602,131.31,0.001225142579002722,0.017203765314859783,-0.06984842277755021,0.06944615764154438
GAS,65.3058870967742,73.75,-0.00011712175808498897,0.013070885239327631,-0.0698642533936652,0.07004500097828203
GVR,29.73887096774193,38.1,0.0013721284174740122,0.025267962138380014,-0.07010634107916502,0.07007921998781219
HDB,15.766801075268818,20.55,0.0012415826539336054,0.01705063096367182,-0.06982543640897754,0.06913756236635793
HPG,19.805940860215053,22.28,0.000273275280334865,0.015101824808452917,-0.06983568075117363,0.06855791962174917
MBB,15.6425,19.18,0.0013878798710472704,0.015140256400653569,-0.07002188183807445,0.06774193548387109
MWG,56.602553763440866,69.79,0.0015205685609325492,0.018731989564447542,-0.06986372261514573,0.06999041227229141
VCB,60.081881720430104,68.11,3.0490637405246102e-05,0.012491974193438544,-0.07000167869733087,0.06909090909090931
